iter	Passed	Remaining
0	137	136957
1	138	69305
2	140	46548
3	141	35182
4	143	28607
5	145	24040
6	146	20779
7	148	18367
8	149	16446
9	150	14904
10	151	13630
11	152	12574
12	153	11677
13	155	10965
14	157	10326
15	158	9773
16	160	9277
17	162	8854
18	163	8441
19	164	8062
20	165	7723
21	166	7416
22	168	7144
23	169	6909
24	171	6673
25	172	6450
26	173	6241
27	174	6062
28	176	5923
29	177	5754
30	179	5598
31	180	5451
32	181	5312
33	182	5183
34	183	5061
35	184	4948
36	186	4842
37	187	4740
38	188	4644
39	190	4564
40	191	4475
41	192	4389
42	193	4307
43	194	4228
44	195	4150
45	197	4090
46	198	4021
47	199	3961
48	200	3897
49	201	3835
50	203	3778
51	204	3727
52	205	3674
53	206	3623
54	207	3573
55	209	3524
56	210	3476
57	212	3444
58	213	3404
59	215	3370
60	216	3328
61	217	3292
62	219	3263
63	220	3226
64	221	3189
65	222	3152
66	223	3118
67	225	3088
68	227	3069
69	228	3037
70	229	3007
71	230	2976
72	232	2952
73	235	2942
74	236	2912
75	237	2884
76	238	2857
77	239	2831
78	240	2805
79	241	2779
80	242	2754
81	243	2730
82	244	2701
83	245	2678
84	247	2661
85	249	2646
86	250	2624
87	251	2602
88	252	2583
89	253	2562
90	254	2542
91	255	2523
92	256	2504
93	257	2485
94	259	2467
95	260	2450
96	261	2432
97	263	2422
98	264	2405
99	265	2388
100	266	2372
101	267	2358
102	268	2342
103	269	2325
104	271	2310
105	272	2295
106	273	2280
107	274	2265
108	275	2251
109	276	2240
110	278	2229
111	279	2215
112	280	2202
113	281	2188
114	282	2174
115	283	2162
116	284	2147
117	285	2134
118	286	2121
119	287	2108
120	288	2096
121	289	2082
122	290	2070
123	291	2060
124	293	2051
125	294	2039
126	294	2027
127	296	2017
128	297	2007
129	298	1996
130	299	1986
131	300	1976
132	301	1966
133	302	1956
134	303	1947
135	305	1938
136	306	1931
137	308	1926
138	309	1917
139	310	1908
140	311	1899
141	312	1888
142	313	1879
143	314	1871
144	315	1863
145	317	1855
146	318	1847
147	319	1838
148	320	1832
149	322	1825
150	323	1817
151	324	1810
152	325	1803
153	327	1796
154	328	1789
155	329	1782
156	330	1775
157	331	1767
158	332	1759
159	333	1753
160	334	1744
161	335	1737
162	337	1732
163	338	1725
164	339	1718
165	340	1712
166	341	1705
167	343	1699
168	344	1692
169	345	1686
170	346	1679
171	347	1673
172	348	1667
173	349	1660
174	351	1656
175	352	1651
176	353	1644
177	354	1638
178	355	1632
179	356	1626
180	357	1619
181	359	1613
182	360	1607
183	361	1601
184	362	1595
185	363	1589
186	364	1584
187	366	1580
188	367	1577
189	368	1572
190	370	1567
191	371	1562
192	372	1557
193	373	1552
194	375	1548
195	376	1545
196	378	1540
197	379	1536
198	380	1532
199	381	1527
200	382	1522
201	384	1517
202	385	1511
203	386	1506
204	387	1501
205	388	1496
206	389	1492
207	390	1487
208	391	1482
209	392	1478
210	394	1474
211	395	1471
212	397	1467
213	398	1462
214	399	1458
215	400	1453
216	401	1449
217	402	1445
218	404	1441
219	405	1437
220	406	1433
221	408	1429
222	409	1426
223	410	1423
224	412	1419
225	413	1416
226	414	1412
227	416	1408
228	417	1405
229	418	1401
230	419	1397
231	420	1393
232	422	1389
233	423	1386
234	424	1382
235	426	1379
236	427	1376
237	428	1372
238	429	1368
239	430	1364
240	432	1361
241	433	1358
242	434	1354
243	436	1350
244	437	1347
245	438	1343
246	439	1340
247	441	1337
248	442	1334
249	443	1330
250	444	1326
251	445	1322
252	446	1318
253	447	1315
254	449	1311
255	450	1308
256	451	1305
257	452	1302
258	454	1300
259	455	1297
260	456	1293
261	457	1290
262	459	1286
263	460	1284
264	462	1281
265	463	1278
266	464	1275
267	465	1272
268	467	1269
269	468	1266
270	470	1264
271	471	1261
272	472	1258
273	473	1255
274	474	1252
275	476	1249
276	477	1246
277	478	1243
278	479	1240
279	481	1236
280	482	1234
281	483	1231
282	485	1229
283	487	1228
284	489	1227
285	490	1224
286	491	1221
287	492	1218
288	494	1215
289	495	1212
290	496	1209
291	497	1207
292	499	1205
293	501	1203
294	502	1200
295	503	1197
296	504	1194
297	505	1191
298	507	1189
299	508	1187
300	509	1184
301	511	1181
302	512	1178
303	513	1176
304	515	1173
305	516	1171
306	517	1168
307	518	1165
308	520	1163
309	521	1161
310	523	1158
311	524	1155
312	525	1153
313	526	1150
314	527	1148
315	529	1146
316	530	1143
317	531	1140
318	533	1138
319	534	1136
320	536	1134
321	537	1131
322	538	1129
323	539	1126
324	540	1123
325	542	1120
326	543	1118
327	544	1116
328	546	1113
329	547	1111
330	548	1108
331	549	1106
332	551	1104
333	552	1101
334	553	1098
335	554	1095
336	555	1093
337	557	1091
338	559	1090
339	560	1087
340	561	1084
341	562	1082
342	564	1080
343	565	1078
344	566	1076
345	568	1073
346	569	1071
347	570	1068
348	572	1067
349	573	1065
350	574	1062
351	575	1060
352	577	1057
353	578	1055
354	579	1053
355	580	1051
356	582	1048
357	583	1046
358	584	1043
359	585	1041
360	587	1040
361	588	1038
362	590	1035
363	591	1033
364	592	1031
365	594	1029
366	595	1027
367	597	1025
368	598	1023
369	599	1020
370	600	1018
371	602	1017
372	604	1015
373	605	1012
374	606	1011
375	608	1009
376	609	1007
377	610	1004
378	611	1002
379	613	1000
380	614	998
381	615	996
382	617	994
383	618	992
384	619	990
385	621	988
386	622	985
387	623	983
388	624	980
389	625	978
390	627	977
391	628	975
392	629	972
393	631	971
394	632	969
395	634	967
396	635	964
397	637	963
398	638	961
399	639	959
400	640	956
401	641	954
402	642	952
403	644	950
404	645	947
405	646	945
406	647	944
407	649	941
408	650	939
409	651	937
410	652	935
411	653	932
412	654	930
413	655	928
414	657	926
415	658	923
416	659	921
417	660	919
418	662	918
419	663	916
420	665	914
421	666	912
422	667	911
423	669	908
424	670	907
425	671	905
426	672	902
427	674	900
428	675	899
429	677	897
430	678	895
431	679	893
432	680	891
433	682	890
434	683	888
435	684	886
436	686	884
437	687	882
438	688	879
439	689	877
440	691	876
441	692	874
442	693	872
443	694	870
444	696	868
445	697	866
446	698	864
447	699	862
448	701	860
449	702	858
450	703	856
451	704	854
452	706	852
453	707	851
454	709	849
455	710	847
456	711	845
457	712	843
458	713	841
459	714	839
460	715	837
461	717	835
462	718	833
463	719	831
464	721	829
465	722	828
466	723	826
467	725	824
468	726	822
469	727	820
470	728	818
471	729	816
472	730	814
473	731	812
474	732	810
475	734	808
476	735	806
477	737	804
478	738	803
479	739	801
480	740	799
481	742	797
482	743	795
483	744	793
484	745	791
485	747	790
486	748	788
487	749	786
488	750	784
489	752	782
490	753	781
491	754	779
492	755	777
493	756	775
494	758	773
495	759	771
496	760	769
497	761	767
498	763	766
499	764	764
500	766	763
501	767	761
502	769	759
503	770	757
504	771	756
505	772	754
506	773	752
507	774	750
508	775	748
509	777	746
510	778	744
511	779	743
512	781	741
513	782	739
514	783	738
515	784	736
516	786	734
517	787	732
518	788	731
519	790	729
520	791	727
521	792	725
522	793	723
523	794	721
524	796	720
525	797	718
526	798	716
527	799	714
528	800	713
529	802	711
530	803	709
531	804	707
532	805	706
533	807	704
534	808	702
535	809	700
536	811	699
537	812	697
538	813	695
539	814	693
540	815	692
541	816	690
542	818	688
543	819	686
544	820	685
545	821	683
546	822	681
547	824	680
548	826	678
549	827	676
550	828	674
551	829	673
552	830	671
553	832	669
554	833	668
555	834	666
556	835	664
557	836	662
558	837	661
559	839	659
560	841	658
561	842	656
562	843	654
563	844	652
564	845	650
565	846	649
566	847	647
567	848	645
568	850	643
569	851	642
570	852	640
571	853	638
572	855	637
573	856	635
574	857	633
575	858	632
576	859	630
577	861	628
578	862	626
579	863	625
580	864	623
581	865	621
582	866	620
583	868	618
584	869	616
585	870	615
586	872	613
587	873	611
588	874	610
589	875	608
590	877	607
591	878	605
592	879	603
593	881	602
594	882	600
595	883	598
596	885	597
597	886	595
598	887	594
599	888	592
600	890	590
601	891	589
602	892	587
603	893	585
604	894	584
605	896	582
606	897	581
607	899	579
608	900	578
609	901	576
610	903	575
611	905	574
612	907	572
613	908	571
614	909	569
615	911	567
616	912	566
617	913	564
618	915	563
619	916	561
620	917	560
621	919	558
622	920	557
623	921	555
624	923	553
625	924	552
626	925	550
627	926	549
628	928	547
629	930	546
630	931	544
631	932	543
632	933	541
633	935	539
634	936	538
635	937	536
636	938	534
637	939	533
638	940	531
639	942	529
640	943	528
641	945	527
642	946	525
643	947	523
644	948	522
645	949	520
646	950	518
647	951	517
648	953	515
649	954	513
650	955	512
651	956	510
652	958	509
653	959	507
654	961	506
655	962	504
656	963	503
657	964	501
658	966	499
659	967	498
660	968	496
661	969	495
662	971	493
663	972	492
664	974	490
665	975	489
666	976	487
667	978	486
668	979	484
669	980	482
670	981	481
671	983	479
672	984	478
673	985	476
674	986	475
675	988	473
676	989	472
677	990	470
678	991	468
679	993	467
680	994	465
681	995	464
682	996	462
683	997	461
684	999	459
685	1000	457
686	1001	456
687	1003	454
688	1004	453
689	1006	452
690	1007	450
691	1008	448
692	1009	447
693	1011	445
694	1012	444
695	1014	442
696	1015	441
697	1016	439
698	1018	438
699	1019	437
700	1020	435
701	1022	433
702	1023	432
703	1024	430
704	1025	429
705	1027	427
706	1028	426
707	1029	424
708	1030	422
709	1032	421
710	1033	420
711	1035	418
712	1036	417
713	1037	415
714	1038	413
715	1039	412
716	1040	410
717	1041	409
718	1042	407
719	1043	405
720	1044	404
721	1046	402
722	1047	401
723	1049	399
724	1050	398
725	1051	396
726	1052	395
727	1053	393
728	1054	392
729	1056	390
730	1057	389
731	1058	387
732	1059	385
733	1060	384
734	1062	382
735	1063	381
736	1064	379
737	1066	378
738	1067	376
739	1068	375
740	1069	373
741	1071	372
742	1072	370
743	1073	369
744	1074	367
745	1075	366
746	1077	364
747	1078	363
748	1080	362
749	1081	360
750	1082	359
751	1084	357
752	1085	356
753	1087	354
754	1089	353
755	1090	351
756	1092	350
757	1094	349
758	1095	347
759	1097	346
760	1098	344
761	1099	343
762	1101	342
763	1104	341
764	1105	339
765	1107	338
766	1108	336
767	1110	335
768	1111	333
769	1112	332
770	1113	330
771	1114	329
772	1115	327
773	1117	326
774	1118	324
775	1119	323
776	1121	321
777	1122	320
778	1123	318
779	1125	317
780	1126	315
781	1128	314
782	1130	313
783	1132	311
784	1133	310
785	1134	308
786	1135	307
787	1137	306
788	1138	304
789	1140	303
790	1141	301
791	1142	299
792	1143	298
793	1144	296
794	1145	295
795	1147	293
796	1148	292
797	1149	290
798	1150	289
799	1152	288
800	1153	286
801	1154	285
802	1156	283
803	1157	282
804	1158	280
805	1160	279
806	1161	277
807	1163	276
808	1164	274
809	1165	273
810	1166	271
811	1168	270
812	1169	269
813	1170	267
814	1172	266
815	1173	264
816	1174	263
817	1176	261
818	1177	260
819	1178	258
820	1179	257
821	1181	255
822	1182	254
823	1184	252
824	1185	251
825	1186	249
826	1187	248
827	1189	247
828	1190	245
829	1191	244
830	1192	242
831	1194	241
832	1195	239
833	1197	238
834	1198	236
835	1199	235
836	1201	233
837	1202	232
838	1203	230
839	1204	229
840	1205	227
841	1207	226
842	1208	225
843	1209	223
844	1211	222
845	1212	220
846	1214	219
847	1215	217
848	1216	216
849	1217	214
850	1219	213
851	1220	211
852	1221	210
853	1222	209
854	1223	207
855	1225	206
856	1226	204
857	1228	203
858	1229	201
859	1230	200
860	1231	198
861	1232	197
862	1234	195
863	1235	194
864	1236	192
865	1237	191
866	1238	189
867	1239	188
868	1241	187
869	1242	185
870	1243	184
871	1245	182
872	1246	181
873	1247	179
874	1248	178
875	1249	176
876	1250	175
877	1251	173
878	1252	172
879	1254	171
880	1255	169
881	1256	168
882	1258	166
883	1259	165
884	1260	163
885	1261	162
886	1262	160
887	1263	159
888	1265	157
889	1266	156
890	1267	155
891	1268	153
892	1270	152
893	1271	150
894	1272	149
895	1273	147
896	1275	146
897	1276	144
898	1277	143
899	1278	142
900	1279	140
901	1280	139
902	1282	137
903	1283	136
904	1284	134
905	1286	133
906	1288	132
907	1289	130
908	1290	129
909	1291	127
910	1292	126
911	1293	124
912	1295	123
913	1296	121
914	1297	120
915	1298	119
916	1300	117
917	1302	116
918	1303	114
919	1305	113
920	1306	112
921	1307	110
922	1308	109
923	1309	107
924	1310	106
925	1312	104
926	1313	103
927	1314	102
928	1316	100
929	1317	99
930	1319	97
931	1320	96
932	1321	94
933	1323	93
934	1324	92
935	1325	90
936	1327	89
937	1328	87
938	1329	86
939	1331	84
940	1332	83
941	1333	82
942	1334	80
943	1336	79
944	1337	77
945	1338	76
946	1339	74
947	1341	73
948	1342	72
949	1343	70
950	1344	69
951	1346	67
952	1347	66
953	1348	65
954	1349	63
955	1351	62
956	1352	60
957	1353	59
958	1354	57
959	1356	56
960	1357	55
961	1358	53
962	1360	52
963	1361	50
964	1362	49
965	1363	48
966	1365	46
967	1366	45
968	1367	43
969	1368	42
970	1369	40
971	1370	39
972	1372	38
973	1373	36
974	1374	35
975	1376	33
976	1377	32
977	1379	31
978	1380	29
979	1381	28
980	1382	26
981	1384	25
982	1385	23
983	1386	22
984	1387	21
985	1388	19
986	1390	18
987	1391	16
988	1392	15
989	1394	14
990	1396	12
991	1397	11
992	1398	9
993	1400	8
994	1401	7
995	1402	5
996	1404	4
997	1405	2
998	1406	1
999	1408	0
